,cell1_cu_watts,cell1_du_watts,cell1_ru_watts,cell1_cu_joules,cell1_du_joules,cell1_ru_joules,cell1_total_watts,cell1_total_joules,cell2_cu_watts,cell2_du_watts,cell2_ru_watts,cell2_cu_joules,cell2_du_joules,cell2_ru_joules,cell2_total_watts,cell2_total_joules
2025-09-29 15:16:45,0.08280901903805438,10.930790512968574,51.1,27571.586452,139288.139474,5626.5,62.11359953200663,172486.22592599998,0.08280901903805438,10.68236345586524,50.9,27571.586452,149522.784052,5594.0,61.665172474903294,182688.370504
2025-09-29 15:16:50,0.10710168050691393,13.119955862056015,51.2,27571.985348000002,139350.497967,5882.5,64.42705754256293,172804.98331500002,0.10710168050691393,12.798650820548364,50.9,27571.985348000002,149585.672336,5848.5,63.805752501055274,183006.15768399998
2025-09-29 15:16:55,1.3223235150681962,12.562073393132975,51.2,27573.644156000002,139417.20328299998,6138.5,65.08439690820117,173129.34743899998,1.3223235150681962,13.019800763752663,50.9,27573.644156000002,149654.999679,6103.0,65.24212427882085,183331.643835
2025-09-29 15:17:00,0.05729050304019514,11.85913412932951,51.2,27574.252098,139478.515157,6394.5,63.11642463236971,173447.26725499998,0.05729050304019514,12.718491674941557,50.9,27574.252098,149718.790655,6357.5,63.67578217798175,183650.542753
2025-09-29 15:17:05,0.07085495674667645,11.620212906461383,51.2,27574.582093,139542.194459,6650.5,62.891067863208065,173767.276552,0.07085495674667645,12.187052560447684,50.9,27574.582093,149784.908444,6612.0,63.15790751719436,183971.490537
2025-09-29 15:17:10,0.09849039615203696,12.06507352862117,51.2,27574.907508999997,139598.376713,6906.5,63.36356392477321,174079.784222,0.09849039615203696,12.212809122861541,50.9,27574.907508999997,149843.460015,6866.5,63.21129951901358,184284.867524
2025-09-29 15:17:15,0.05671011849610523,13.610428439085887,51.2,27575.23884,139665.89359,7162.5,64.867138557582,174403.63243,0.05671011849610523,14.064109387044411,50.8,27575.23884,149911.94493199998,7120.5,64.92081950554052,184607.683772
2025-09-29 15:17:20,0.10855000528465107,12.808900623583892,51.2,27575.607772,139730.33878100003,7418.5,64.11745062886854,174724.44655300002,0.10855000528465107,13.405925652672918,50.9,27575.607772,149978.91361699998,7375.0,64.41447565795757,184929.52138899997
2025-09-29 15:17:25,0.05937974747800755,11.519671010670683,51.1,27575.970830000002,139791.690679,7674.0,62.67905075814869,175041.661509,0.05937974747800755,11.460291263202464,51.0,27575.970830000002,150039.526801,7630.0,62.51967101068047,185245.497631
2025-09-29 15:17:30,0.08178971665248659,12.43203693119284,51.2,27576.392756999998,139856.400671,7930.0,63.71382664784533,175362.793428,0.08178971665248659,11.777719197987823,50.8,27576.392756999998,150100.59236100002,7884.0,62.659508914640305,185560.985118
2025-09-29 15:17:35,0.09598029760031912,11.9975372000508,51.1,27576.826585,139916.107735,8185.5,63.19351749765112,175678.43432,0.09598029760031912,11.613616009658255,50.8,27576.826585,150159.425996,8138.0,62.50959630725857,185874.252581
