,cu_watts,du_watts,ru_watts,cu_joules,du_joules,ru_joules,total_watts,total_joules
2025-09-29 09:03:30,0.042134516606992675,,50.6,26088.796458,,45599.0,50.642134516606994,71687.796458
2025-09-29 09:03:35,0.11874768672758859,,50.6,26089.14722,,45852.0,50.71874768672759,71941.14722
2025-09-29 09:03:40,0.0,,50.6,26089.434435,,46105.0,50.6,72194.434435
2025-09-29 09:03:45,0.09470479817388983,,50.5,26089.735005,,46357.5,50.59470479817389,72447.235005
2025-09-29 09:03:50,0.04433669700646269,,50.5,26090.069946,,46610.0,50.544336697006464,72700.069946
2025-09-29 09:03:55,0.09693468832751473,,50.6,26090.399924,,46863.0,50.69693468832752,72953.399924
2025-09-29 09:04:00,0.0,,50.6,26090.809166,,47116.0,50.6,73206.80916599999
2025-09-29 09:04:05,0.0,,50.6,26091.110954000003,,47369.0,50.6,73460.110954
2025-09-29 09:04:10,0.04590834529345083,,50.6,26091.41513,,47622.0,50.64590834529345,73713.41513000001
2025-09-29 09:04:15,0.04428419255095422,,50.6,26091.759610999998,,47875.0,50.644284192550955,73966.759611
2025-09-29 09:04:20,0.10092344022845799,,50.7,26092.153332,,48128.5,50.80092344022846,74220.653332
2025-09-29 09:04:25,0.056024707959334244,,50.6,26092.443142,,48381.5,50.65602470795933,74473.943142
2025-09-29 09:04:30,0.0,,50.6,26092.951385,,48634.5,50.6,74727.451385
2025-09-29 09:04:35,0.0972592329822575,,50.6,26093.31688,,48887.5,50.69725923298226,74980.81688
2025-09-29 09:04:40,0.09735556667441218,,50.6,26093.664362,,49140.5,50.69735556667441,75234.164362
2025-09-29 09:04:45,0.04552368922308417,,50.6,26094.106200000002,,49393.5,50.64552368922308,75487.60620000001
2025-09-29 09:04:50,0.06616780820221256,,50.6,26094.40838,,49646.5,50.66616780820221,75740.90838000001
2025-09-29 09:04:55,0.0,,50.6,26094.7547,,49899.5,50.6,75994.2547
2025-09-29 09:05:00,0.09001321354320951,,50.6,26095.117303,,50152.5,50.69001321354321,76247.617303
2025-09-29 09:05:05,0.19919775885143448,,50.7,26095.601615,,50406.0,50.899197758851436,76501.60161499999
2025-09-29 09:05:10,0.04895331231844613,,50.7,26095.969905,,50659.5,50.74895331231845,76755.469905
2025-09-29 09:05:15,0.05806827853518669,,50.6,26096.283938,,50912.5,50.65806827853519,77008.78393800001
2025-09-29 09:05:20,0.0,,50.7,26096.60116,,51166.0,50.7,77262.60115999999
2025-09-29 09:05:25,0.09555320208951969,,50.6,26096.960093,,51419.0,50.69555320208952,77515.960093
2025-09-29 09:05:30,0.04537691491825703,,50.6,26097.429098,,51672.0,50.64537691491826,77769.429098
2025-09-29 09:05:35,0.10805641606633475,,50.6,26097.821536,,51925.0,50.708056416066334,78022.821536
2025-09-29 09:05:40,0.06271726652638558,,50.6,26098.137353000002,,52178.0,50.662717266526386,78276.137353
2025-09-29 09:05:45,0.0,,50.6,26098.460268000003,,52431.0,50.6,78529.460268
2025-09-29 09:05:50,0.050102411451595455,,50.6,26098.786916,,52684.0,50.6501024114516,78782.786916
2025-09-29 09:05:55,0.05140667537014656,,50.6,26099.158294,,52937.0,50.65140667537015,79036.158294
2025-09-29 09:06:00,0.09636587456120305,,50.8,26099.465104000003,,53191.0,50.8963658745612,79290.465104
2025-09-29 09:06:05,0.1289513454769174,,50.6,26099.841566,,53444.0,50.72895134547692,79543.841566
2025-09-29 09:06:10,0.07802113739327701,,50.6,26100.275387,,53697.0,50.67802113739328,79797.275387
2025-09-29 09:06:15,0.04775362419255354,,50.6,26100.523903,,53950.0,50.64775362419255,80050.523903
2025-09-29 09:06:20,0.04821487793831158,,50.7,26100.865873,,54203.5,50.74821487793832,80304.365873
2025-09-29 09:06:25,0.10190580023137215,,50.6,26101.265771000002,,54456.5,50.70190580023137,80557.765771
2025-09-29 09:06:30,0.06669918303749559,,50.7,26101.564498,,54710.0,50.766699183037495,80811.56449799999
2025-09-29 09:06:35,0.09624926251800864,,50.6,26101.878708,,54963.0,50.69624926251801,81064.878708
2025-09-29 09:06:40,0.17672833374573138,,49.7,26102.378939,,55211.5,49.87672833374573,81313.878939
2025-09-29 09:06:45,0.08443171825681356,,49.6,26102.769217,,55459.5,49.68443171825682,81562.269217
2025-09-29 09:06:50,0.06682758280570701,,49.8,26103.1628,,55708.5,49.866827582805705,81811.66279999999
2025-09-29 09:06:55,0.06562048897588735,,49.7,26103.509067,,55957.0,49.76562048897589,82060.509067
2025-09-29 09:07:00,0.09032257138920774,,50.6,26103.932384,,56210.0,50.69032257138921,82313.932384
2025-09-29 09:07:05,0.11009941945631332,,50.6,26104.337457,,56463.0,50.71009941945631,82567.337457
2025-09-29 09:07:10,0.12220736759932259,,50.6,26104.774479,,56716.0,50.722207367599324,82820.774479
2025-09-29 09:07:15,0.14485682903936406,,50.7,26105.310325,,56969.5,50.844856829039365,83074.810325
